State,Full_State,Year,Overall_Homeless,Total_Population,Percent_Homeless
FL,Florida,2019,28328,21477737,0.13
GA,Georgia,2019,10443,10617423,0.1
HI,Hawaii,2019,6412,1415872,0.45
IA,Iowa,2019,2315,3155070,0.07
ID,Idaho,2019,2315,1787065,0.13
IL,Illinois,2019,10199,12671821,0.08
IN,Indiana,2019,5471,6732219,0.08
KS,Kansas,2019,2381,2913314,0.08
KY,Kentucky,2019,4079,4467673,0.09
LA,Louisiana,2019,2941,4648794,0.06
MA,Massachusetts,2019,18471,6892503,0.27
MD,Maryland,2019,6561,6045680,0.11
ME,Maine,2019,2106,1344212,0.16
MI,Michigan,2019,8575,9986857,0.09
MN,Minnesota,2019,7977,5639632,0.14
MO,Missouri,2019,6179,6137428,0.1
MS,Mississippi,2019,1184,2976149,0.04
MT,Montana,2019,1357,1068778,0.13
NC,North Carolina,2019,9314,10488084,0.09
ND,North Dakota,2019,557,762062,0.07
NE,Nebraska,2019,2365,1934408,0.12
NH,New Hampshire,2019,1396,1359711,0.1
NJ,New Jersey,2019,8862,8882190,0.1
NM,New Mexico,2019,3241,2096829,0.15
NV,Nevada,2019,7169,3080156,0.23
NY,New York,2019,92091,19453561,0.47
OH,Ohio,2019,10345,11689100,0.09
OK,Oklahoma,2019,3944,3956971,0.1
OR,Oregon,2019,15876,4217737,0.38
PA,Pennsylvania,2019,13199,12801989,0.1
RI,Rhode Island,2019,1055,1059361,0.1
SC,South Carolina,2019,4172,5148714,0.08
SD,South Dakota,2019,995,884659,0.11
TN,Tennessee,2019,7467,6829174,0.11
TX,Texas,2019,25848,28995881,0.09
UT,Utah,2019,2798,3205958,0.09
VA,Virginia,2019,5783,8535519,0.07
VT,Vermont,2019,1089,623989,0.17
WA,Washington,2019,21577,7614893,0.28
WI,Wisconsin,2019,4538,5822434,0.08
WV,West Virginia,2019,1397,1792147,0.08
WY,Wyoming,2019,548,578759,0.09
AK,Alaska,2020,1949,733391,0.27
AL,Alabama,2020,3351,5024279,0.07
AR,Arkansas,2020,2366,3011524,0.08
AZ,Arizona,2020,10979,7151502,0.15
CA,California,2020,161548,39538223,0.41
CO,Colorado,2020,9846,5773714,0.17
CT,Connecticut,2020,2905,3605944,0.08
DE,Delaware,2020,1165,989948,0.12
FL,Florida,2020,27487,21538187,0.13
GA,Georgia,2020,10234,10711908,0.1
HI,Hawaii,2020,6458,1455271,0.44
IA,Iowa,2020,2647,3190369,0.08
ID,Idaho,2020,2315,1839106,0.13
IL,Illinois,2020,10431,12812508,0.08
IN,Indiana,2020,5625,6785528,0.08
KS,Kansas,2020,2449,2937880,0.08
KY,Kentucky,2020,4011,4505836,0.09
LA,Louisiana,2020,3173,4657757,0.07
MA,Massachusetts,2020,17975,7029917,0.26
MD,Maryland,2020,6360,6177224,0.1
ME,Maine,2020,2097,1362359,0.15
MI,Michigan,2020,8638,10077331,0.09
MN,Minnesota,2020,7940,5706494,0.14
MO,Missouri,2020,6527,6154913,0.11
MS,Mississippi,2020,1107,2961279,0.04
MT,Montana,2020,1545,1084225,0.14
NC,North Carolina,2020,9280,10439388,0.09
ND,North Dakota,2020,541,779094,0.07
NE,Nebraska,2020,2404,1961504,0.12
NH,New Hampshire,2020,1675,1377529,0.12
NJ,New Jersey,2020,9662,9288994,0.1
NM,New Mexico,2020,3333,2117522,0.16
NV,Nevada,2020,6900,3104614,0.22
NY,New York,2020,91271,20201249,0.45
OH,Ohio,2020,10655,11799448,0.09
OK,Oklahoma,2020,3932,3959353,0.1
OR,Oregon,2020,14655,4237256,0.35
PA,Pennsylvania,2020,13375,13002700,0.1
RI,Rhode Island,2020,1104,1097379,0.1
SC,South Carolina,2020,4287,5118425,0.08
SD,South Dakota,2020,1058,886667,0.12
TN,Tennessee,2020,7256,6910840,0.1
TX,Texas,2020,27229,29145505,0.09
UT,Utah,2020,3131,3271616,0.1
VA,Virginia,2020,5957,8631393,0.07
VT,Vermont,2020,1110,643077,0.17
WA,Washington,2020,22923,7705281,0.3
WI,Wisconsin,2020,4515,5893718,0.08
WV,West Virginia,2020,1341,1793716,0.07
WY,Wyoming,2020,612,576851,0.11
