State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
VT,2,1144,579,438,4,1021,123,637,340,189,4,533,104,507,239,249,488,19,156,75,75,150,6,0,94,67,0,67,27,81,75,6,2011
WA,7,20439,6047,8976,52,15075,5364,10868,3934,2232,52,6218,4650,9571,2113,6744,8857,714,3040,658,2182,2840,200,52,2136,1159,52,1211,925,1478,1167,311,2011
WI,4,5785,2644,2650,61,5355,430,2838,1520,923,61,2504,334,2947,1124,1727,2851,96,994,358,607,965,29,20,410,327,20,347,63,607,584,23,2011
WV,4,2211,923,471,11,1405,806,1662,696,285,11,992,670,549,227,186,413,136,207,85,71,156,51,5,287,174,5,179,108,302,236,66,2011
WY,1,1038,127,68,0,195,843,320,79,48,0,127,193,718,48,20,68,650,223,22,7,29,194,0,82,27,0,27,55,83,39,44,2011
Total,432,623788,221457,168961,1898,392316,231472,387613,124432,79504,1898,205834,181779,236175,97025,89457,186482,49693,77184,32415,29221,61636,15548,1335,103522,37636,1335,38971,64551,65455,40033,25422,2011
AK,2,1913,1139,577,0,1716,197,1298,849,308,0,1157,141,615,290,269,559,56,216,92,102,194,22,0,273,257,0,257,16,256,227,29,2012
AL,8,5209,1663,1969,32,3664,1545,3825,1158,1383,32,2573,1252,1384,505,586,1091,293,497,182,201,383,114,32,910,299,32,331,579,526,377,149,2012
AR,6,4214,886,716,0,1602,2612,3428,707,484,0,1191,2237,786,179,232,411,375,266,65,69,134,132,0,361,142,0,142,219,362,205,157,2012
AZ,3,11302,4291,3884,40,8215,3087,6310,2507,1239,40,3786,2524,4992,1784,2645,4429,563,1465,569,758,1327,138,34,1605,355,34,389,1216,1478,1007,471,2012
CA,42,120098,22200,23530,160,45890,74208,94888,14608,11726,160,26494,68394,25210,7592,11804,19396,5814,8076,2410,3780,6190,1886,121,30189,4791,121,4912,25277,14611,4512,10099,2012
CO,3,16768,3502,3733,25,7260,9508,5101,1892,930,25,2847,2254,11667,1610,2803,4413,7254,3104,457,825,1282,1822,25,1612,468,25,493,1119,1512,800,712,2012
CT,7,4209,2271,1243,0,3514,695,2906,1577,675,0,2252,654,1303,694,568,1262,41,449,239,193,432,17,0,924,594,0,594,330,332,285,47,2012
DE,1,1008,527,449,10,986,22,611,364,215,10,589,22,397,163,234,397,0,128,49,79,128,0,7,84,66,7,73,11,66,64,2,2012
